artist,title,date,website
Aisling O'BeirnAisling O'Beirn,VIRTUAL URBAN,2000,http://www.potrc.org/vu
mary flanaganmary flanagan,[phage] (downloadable app for the PC),2000,http://archive.rhizome.org/artbase/2310/phage.zip
Claire DinsmoreClaire Dinsmore,The Dazzle as Question,2000,http://www.studiocleo.com/projects/dazzle/
Susana Mendes SilvaSusana Mendes Silva,"When a woman uses a gun, that is...",2000,http://when-a-woman.blogspot.com/
Peter NorvigPeter Norvig,The Gettysburg Powerpoint Presentation,2000,
Lucas BambozziLucas Bambozzi,POSTCARDS,2000,http://www.comum.com/diphusa/postcards
Ben BenjaminBen Benjamin,Superbad,2000,http://www.superbad.com/
armand behararmand behar,Pliages et dépilages d'une pensée à étages,2000,http://www.teleweb.org/mai2000/armand/index.htm
Carlo ZanniCarlo Zanni,e-sm: electronic soul mirroring,2000,http://www.e-sm.org/
Natalie BookchinNatalie Bookchin,Searching for the Truth,2000,
Rev. Luke MurphyRev. Luke Murphy,Universal Algorithm of Experience,2000,http://www.cabinetmagazine.org/art/webart/lukemurphy/
curt cloningercurt cloninger,playdamage,2000,http://www.playdamage.org/
Max HermanMax Herman,The Genius 2000 Network,2000,http://www.geocities.com/genius-2000
Ricardo DominguezRicardo Dominguez,Virtual Timeline,2000,
Teo SpillerTeo Spiller,nice page,2000,http://www.spiller.si/net.art/nice_page/
chih-min chenchih-min chen,a javanized flesh,2000,http://archive.rhizome.org/artbase/2821/main.htm
Doron GolanDoron Golan,ocular,2000,http://the9th.com/00/artbase/ocular/
Melanie RodgersMelanie Rodgers,The Dichotomy of Living,2000,
curt cloningercurt cloninger,a digital quilt project,2000,http://www.playdamage.org/quilt/
nark bkbnark bkb,minus esse,2000,http://www.salara.net/cafe9/minusesse
marcin ramockimarcin ramocki,virtual singer,March 2000,
Sebastian CudicioSebastian Cudicio,solo quedara,2000,http://www.arteuna.com/artedig/Solo.htm
gruppo A12gruppo A12,parole,20 June 2000,http://parole.aporee.org
xavier cahenxavier cahen,levels9,2000,http://www.levels9.com
Sebastian CudicioSebastian Cudicio,tu eje,2000,http://www.arteuna.com/artedig/tu-eje.htm
Jan Robert LeegteJan Robert Leegte,untitled[scrollbars],2000,http://www.leegte.org/works/online/composition_blue/index.htmhttp://scrollbarcomposition.com/
arcangel constantiniarcangel constantini,atari-noise,2000,http://www.atari-noise.com
MTAAMTAA,[email protected] (the 3mb annexation),2000,http://www.mteww.com/3mb/index.html
christopher ottochristopher otto,timeascolor,2000,
Brian Kim StefansBrian Kim Stefans,the dreamlife of letters,2000,http://www.arras.net/RNG/flash/dreamlife/dreamlife_index.html
carla ganniscarla gannis,sistergemini.com,2000,http://sistergemini.com/
curt cloningercurt cloninger,the shine of your japan,2000,
moises mañasmoises mañas,untitledcity,2000,http://www.untitledcity.com
Aureliano Pérez GarzónAureliano Pérez Garzón,mentalmaps,2000,http://cv.uoc.es/%7Eaperezg/siteMentalMaps/index.htm
Takuji KogoTakuji Kogo,Sit.com,2000,http://archive.rhizome.org/artbase/1700
nicholas economosnicholas economos,wallcloud,2000,http://www.wallcloud.com
nathaniel sternnathaniel stern,hektor.net,2000,http://hektor.net/
UBERMORGENUBERMORGEN,[V]ote-auction,2000,http://www.vote-auction.net/
Eduardo NavasEduardo Navas,The Quixote,2000,http://www.navasse.net/Qstory/systemStory.html
Christina McPheeChristina McPhee,slipstreamandromeda,2000,http://archive.rhizome.org/artbase/2458/SlipstreamAndromeda/index.htm
paul loftus murnaghanpaul loftus murnaghan,mp3(abode),2000,http://www.stunned.org/abode/af.htm
Adrian MilesAdrian Miles,vog,2000,http://hypertext.rmit.edu.au/vog/
Paul SteenberghePaul Steenberghe,re_2,2000,http://www.subnote.net/re_2
Dejan SinadinovicDejan Sinadinovic,rotating ascii,2000,http://users.verat.net/~eusebius/06/index.htm
Juliet Ann MartinJuliet Ann Martin,This is the Time of Your Life,2000,http://www.julietmartin.com/timepiece
Carlos J. Gomez de LlarenaCarlos J. Gomez de Llarena,socialspeech,2000,http://archive.rhizome.org/artbase/2271/socialspeechs.dcr
Jason NelsonJason Nelson,A Tracing,2001,http://www.heliozoa.com/drag2.html
Brian MackernBrian Mackern,<android mantra>,2001,http://www.internet.com.uy/vibri/artefactos/mantra/
Scott PatersonScott Paterson,*-scope,2001,http://www.sgp-7.net/proj/scope/index2.html
Petra VargovaPetra Vargova,Dead or Alive 2 / DOA2,2001,http://www.avu.cz/~citoyen/html/projects/doa.html
Armelle AulestiaArmelle Aulestia,Les Details,2001,http://www.aulestia.net/lesdetails
giselle beiguelmangiselle beiguelman,<Content=No Cache>,2001,http://www.heise.de/tp/kunst/nocache/nocache/
Linda Lauro-LazinLinda Lauro-Lazin,Balkan Layers: Macedonian Diary,2001,http://www.webmark.com/balkan-layers/macedonia
