artist,title,date,website,screenshots,archive available at,archive capture link,can access,base url
SUSIGAMESSUSIGAMES,POPULATOR,2007,http://susigames.com/populator,rhizome_artbase/screenshots/1708.png,20080820013252,http://web.archive.org/web/20080820013252/http://susigames.com/populator,Y,susigames.com
Michael MandibergMichael Mandiberg,Real Costs,2007,http://TheRealCosts.com/,rhizome_artbase/screenshots/1709.png,20070503090651,http://web.archive.org/web/20070503090651/http://TheRealCosts.com/,Y,TheRealCosts.com
Will LuersWill Luers,A Flea Market Album,2007,http://solublefish.tv/solublefish/marketalbum.shtml,rhizome_artbase/screenshots/1710.png,20090814183218,http://web.archive.org/web/20090814183218/http://solublefish.tv/solublefish/marketalbum.shtml,Y,solublefish.tv
Anders WebergAnders Weberg,Domestic Safari,2007,http://www.domesticsafari.com/,Failed to capture screenshot,20071111095445,http://web.archive.org/web/20071111095445/http://www.domesticsafari.com/,N,domesticsafari.com
Wilfried Agricola de CologneWilfried Agricola de Cologne,Bareback - serial DIScharge,2007,http://bareback.agricola-de-cologne.de/,rhizome_artbase/screenshots/1712.png,20070509020218,http://web.archive.org/web/20070509020218/http://bareback.agricola-de-cologne.de/,Y,agricola-de-cologne.de
Christian Marc SchmidtChristian Marc Schmidt,Community Topographies,2007,http://www.christianmarcschmidt.com/index.php?template=project&id=community_topographies,rhizome_artbase/screenshots/1713.png,0,,Y,christianmarcschmidt.com
Erin O'HaraErin O'Hara,Dessert,2007,http://www.erinohara.net/dessertrhizome.html,rhizome_artbase/screenshots/1714.png,0,,Y,erinohara.net
nina wenhartnina wenhart,IX,2007,http://h3x3n.net/,Failed to capture screenshot,20080202223740,http://web.archive.org/web/20080202223740/http://h3x3n.net/,N,h3x3n.net
santiago ortizsantiago ortiz,Neurozappingfolks,2007,http://www.lisboa20.pt/lx20/proj/neurozapping/,rhizome_artbase/screenshots/1716.png,20070510053127,http://web.archive.org/web/20070510053127/http://www.lisboa20.pt/lx20/proj/neurozapping/,Y,lisboa20.pt
Martin John CallananMartin John Callanan,Location of I,2007,http://location.greyisgood.eu,rhizome_artbase/screenshots/1717.png,20070628050625,http://web.archive.org/web/20070628050625/http://location.greyisgood.eu,Y,greyisgood.eu
Jan KatherJan Kather,Aleatoric Video,2007,https://sites.google.com/site/aleatoricvideo/,rhizome_artbase/screenshots/1718.png,20131116005915,http://web.archive.org/web/20131116005915/https://sites.google.com/site/aleatoricvideo/,Y,google.com
Owen MundyOwen Mundy,Anemophilous Formula for Computer Art,2007,http://owenmundy.com/work/anemophilous_formula/,rhizome_artbase/screenshots/1719.png,20070720044739,http://web.archive.org/web/20070720044739/http://owenmundy.com/work/anemophilous_formula/,Y,owenmundy.com
Les Liens InvisiblesLes Liens Invisibles,Disperse. Exclamatory Phase,2007,http://disperse.exclamatoryphase.net/,rhizome_artbase/screenshots/1720.png,20080724220321,http://web.archive.org/web/20080724220321/http://disperse.exclamatoryphase.net/,Y,exclamatoryphase.net
DEBRA SWACKDEBRA SWACK,Birdsongs:The Language Gene,2007,http://debraswack.com/birdsongs.html,rhizome_artbase/screenshots/1721.png,20150524035143,http://web.archive.org/web/20150524035143/http://debraswack.com/birdsongs.html,Y,debraswack.com
Nathan SelikoffNathan Selikoff,SA_1188475827,2007,http://www.nathanselikoff.com/strangeattractors/,rhizome_artbase/screenshots/1722.png,20070701200655,http://web.archive.org/web/20070701200655/http://www.nathanselikoff.com/strangeattractors/,Y,nathanselikoff.com
Joao SantosJoao Santos,Signs,2007,https://app.picter.com/p/q1tAdSZDY0,rhizome_artbase/screenshots/1723.png,0,,Y,picter.com
Roch ForowiczRoch Forowicz,Looking out of the window,2007,http://www.outofthewindow.pl,Failed to capture screenshot,20070831054723,http://web.archive.org/web/20070831054723/http://www.outofthewindow.pl,N,outofthewindow.pl
Lalo Hernandez DiezLalo Hernandez Diez,A Cristian view of myself in Caracas,2007,http://www.holos.net/rhizome/ego/ego.html,rhizome_artbase/screenshots/1725.png,20150524015614,http://web.archive.org/web/20150524015614/http://www.holos.net/rhizome/ego/ego.html,Y,holos.net
chris reillychris reilly,Hollow Blank Bust (Preparation for Entering an Abstract Landscape/Something I've Always Wanted to Do),2007,http://www.chris-reilly.org/hollow_bb.php,rhizome_artbase/screenshots/1726.png,20070727020951,http://web.archive.org/web/20070727020951/http://www.chris-reilly.org/hollow_bb.php,Y,chris-reilly.org
Christopher BauderChristopher Bauder,Atom,2007,http://www.electricmoons.com/,rhizome_artbase/screenshots/1727.png,20010721150125,http://web.archive.org/web/20010721150125/http://www.electricmoons.com/,Y,electricmoons.com
Tahir ÜnTahir Ün,Concepts & Images - Web Screensaver Project,2007,http://tahirun.net/wb07/,rhizome_artbase/screenshots/1728.png,20080512085250,http://web.archive.org/web/20080512085250/http://tahirun.net/wb07/,Y,tahirun.net
Lewis LaCookLewis LaCook,King's Woods,2007,http://www.lewislacook.org/kingswoods/index.html,rhizome_artbase/screenshots/1729.png,20070310230318,http://web.archive.org/web/20070310230318/http://www.lewislacook.org/kingswoods/index.html,Y,lewislacook.org
santiago ortizsantiago ortiz,Biocollage,2007,http://www.bestiario.org/_proyectos/biocollage,rhizome_artbase/screenshots/1730.png,20071224164210,http://web.archive.org/web/20071224164210/http://www.bestiario.org/_proyectos/biocollage,Y,bestiario.org
Jesse MalmedJesse Malmed,IN3DIA,2007,http://jessemalmed.net/index.php/project/in3dia/,rhizome_artbase/screenshots/1731.png,20160321122951,http://web.archive.org/web/20160321122951/http://jessemalmed.net/index.php/project/in3dia/,Y,jessemalmed.net
chris reillychris reilly,Flat Self Portrait (Preparation for Entering an Abstract Landscape/Something I've Always Wanted to Do),2007,http://www.chris-reilly.org/flat_sp.php,rhizome_artbase/screenshots/1732.png,20070727020905,http://web.archive.org/web/20070727020905/http://www.chris-reilly.org/flat_sp.php,Y,chris-reilly.org
Marc LeeMarc Lee,Breaking The News - Be a News-Jockey,2007,http://www.news-jockey.com,Failed to capture screenshot,20070317121557,http://web.archive.org/web/20070317121557/http://www.news-jockey.com,N,news-jockey.com
mark cooleymark cooley,Dear Internet,2007,http://www.flawedart.net/dearinternet,rhizome_artbase/screenshots/1734.png,20150521121705,http://web.archive.org/web/20150521121705/http://www.flawedart.net/dearinternet,Y,flawedart.net
The Folk Songs ProjectThe Folk Songs Project,Cinco Cidades,2007,http://www.cincocidades.com,rhizome_artbase/screenshots/1735.png,20070428162423,http://web.archive.org/web/20070428162423/http://www.cincocidades.com,Y,cincocidades.com
Chris JosephChris Joseph,Eisenstein's Monster,2007,http://www.babel.ca/em,rhizome_artbase/screenshots/1736.png,20050319100137,http://web.archive.org/web/20050319100137/http://www.babel.ca/em,Y,babel.ca
Peter StanickPeter Stanick,Return of Silent Radio,2007,http://www.stanick.com/showeb/rsr2.html,rhizome_artbase/screenshots/1737.png,20101208043604,http://web.archive.org/web/20101208043604/http://www.stanick.com/showeb/rsr2.html,Y,stanick.com
Annie AbrahamsAnnie Abrahams,"PeurS FearS, Annie Abrahams and the All Star GirlsBand",2007,http://www.bram.org/peur/girlsband/index.html,rhizome_artbase/screenshots/1738.png,20070501200656,http://web.archive.org/web/20070501200656/http://www.bram.org/peur/girlsband/index.html,Y,bram.org
Lars CuznerLars Cuzner,Detecting airborne viruses in the art world,2007,http://www.artworldvirus.com/IAOvirusDB_user.html,Failed to capture screenshot,20081119122114,http://web.archive.org/web/20081119122114/http://www.artworldvirus.com/IAOvirusDB_user.html,N,artworldvirus.com
